Names,Original Prices,Current Prices,Discounts,Ratings,Review Counts,Free Shipping,URLs
"Pebble Bead Bracelet, Silver Bracelet, Bead Bracelet, Stretch Bracelet, Stacking Bracelet, Yoga Jewelry, Beaded Bracelet, Yoga Bracelet",NA,33.00,NA,4.7576,(914),FREE shipping,https://www.etsy.com/listing/211288648/pebble-bead-bracelet-silver-bracelet?click_key=30770e5878a3f0177d314a4044a4f26c52be757b%3A211288648&click_sum=e2a43bf1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-15&frs=1&etp=1
"Crystal Cage Necklace, Handmade Gift for Her, Mom Wife Sister Mother's Day Birthstone, Personalized Grandmother Grandma Gemstones Daughter",67.20,50.40,(25% off),4.8278,"(2,862)",FREE shipping,https://www.etsy.com/listing/259853170/crystal-cage-necklace-handmade-gift-for?click_key=2109553203137f4eec127436e1dca5850e1e9a59%3A259853170&click_sum=0c8faa1e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-16&pro=1&frs=1&sts=1
Opal Earrings • Raw Australian Opal Studs • Genuine Fire Opal Jewelry • Unique October Birthstone Gift • Boho Fall Jewelry • Ringcrush,116.00,92.80,(20% off),4.8289,"(34,067)",FREE shipping,https://www.etsy.com/listing/513484541/opal-earrings-raw-australian-opal-studs?click_key=e76b1e76492c86aef7156f0635636ac9138634d6%3A513484541&click_sum=80a27188&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-17&pro=1&frs=1&sts=1
"Dainty Peridot Necklace, Gold Peridot Necklace, August Birthstone Necklace, Minimalist Necklace",34.00,28.90,(15% off),4.8448,"(12,264)",NA,https://www.etsy.com/listing/208402627/dainty-peridot-necklace-gold-peridot?click_key=bcb6a847b2a1de53b2d30a79a1929207966d2ca3%3A208402627&click_sum=8c1714fe&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-18&pro=1&sts=1
"Rose Gold Dainty Beaded Necklace, Boho Delicate Minimalist Jewelry Short Layering Necklace, Colorful Simple Minimal Bridesmaids Gift",29.52,26.57,(10% off),4.8896,"(14,645)",NA,https://www.etsy.com/listing/449625440/rose-gold-dainty-beaded-necklace-boho?click_key=a6167635e3e488e318269ba470646a0e4193f903%3A449625440&click_sum=02594617&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-19&pro=1&sts=1
Ear Climber Gold Minimalist Sterling Silver Ear Cuff Crescent Moon Earrings Celestial Jewelry Ear Jacket Modern Jewelry - FES007,19.90,14.92,(25% off),4.7472,"(15,199)",NA,https://www.etsy.com/listing/244937167/ear-climber-gold-minimalist-sterling?click_key=9dca6fe4a3f35aca4d2947df5aa85e4f3c63e6b2%3A244937167&click_sum=4ac0ac45&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-20&pro=1&sts=1
"Necklaces for Women, Birthstone Necklace, Dainty Necklace, Handmade Jewelry, Gemstone Necklace, Minimalist Necklace, Gold Necklace, Silver",34.00,25.50,(25% off),4.8448,"(12,264)",NA,https://www.etsy.com/listing/234445479/necklaces-for-women-birthstone-necklace?click_key=2a58fdaa908be695353e44fa1fc7459880b0edea%3A234445479&click_sum=1274fdaf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-21&pro=1&sts=1
"Tiny Gold Drop Necklace, Dainty Teardrop Necklace, Delicate Minimalist Layering Necklace in Sterling Silver, Gold, Rose Gold",45.00,36.00,(20% off),4.8597,"(4,536)",NA,https://www.etsy.com/listing/254897826/tiny-gold-drop-necklace-dainty-teardrop?click_key=a48549d7f4da43f72ce844a027353325d29ce760%3A254897826&click_sum=b4af5985&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-22&pro=1&sts=1
Threader Earrings Gold - Chain Dangle Edgy Earrings - Cartilage Earrings - Silver Earring - CHE023,18.00,12.60,(30% off),4.8494,"(32,641)",NA,https://www.etsy.com/listing/230099656/threader-earrings-gold-chain-dangle-edgy?click_key=3621689aff86a7a476cbe89b28537c1f0cfd3cf5%3A230099656&click_sum=25935b36&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-23&pro=1&sts=1
"Simple Double Heart Necklace, Dainty Heart Link Necklace, Minimal Layering Heart Necklace in Silver, Gold, Rose Gold",45.00,36.00,(20% off),4.8597,"(4,536)",NA,https://www.etsy.com/listing/252638211/simple-double-heart-necklace-dainty?click_key=8e60d8d608bd6aab9fcbf6e64e887b29b9357a43%3A252638211&click_sum=611a09b1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-24&pro=1&sts=1
"Original Design Ivy Ring for Women, Christmas Gift for Her, Handmade Jewelry, Green Leaf Ring, Minimalist Jewellery, Birthday New Year Gift",53.15,26.57,(50% off),4.795,"(6,554)",NA,https://www.etsy.com/listing/1223647371/original-design-ivy-ring-for-women?click_key=6b61ddf865ec7bf7cd8fa61f250634ab8921c5fd%3A1223647371&click_sum=96fa3693&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-9&pro=1&sts=1
"18K Gold Clover Jewelry Set, Gift for Her, Lucky Necklace, Multicolor Necklace Bracelet, Women Jewelry Set Fashionable,925Silver Gold Plated",67.85,30.53,(55% off),4.8043,(276),FREE shipping,https://www.etsy.com/listing/1636629386/18k-gold-clover-jewelry-set-gift-for-her?click_key=b40221fdababc5df19f784b28536ef4d54698966%3A1636629386&click_sum=b1cfcf13&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-10&pro=1&frs=1
Crystal Bridal Earrings Chandelier Earrings  Crystal Earrings Crystal drop Earrings Rose Gold Bridal Jewelry Silver bridal earrings,46.96,23.48,(50% off),4.8633,"(21,617)",FREE shipping,https://www.etsy.com/listing/956177752/crystal-bridal-earrings-chandelier?click_key=d8f48acd9b57897ff4ecb05c6eddc62db4d2031f%3A956177752&click_sum=62dc5939&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-11&pro=1&frs=1&sts=1
Birthstone Bracelet Adjustable Box Chain 925 Silver Custom Birthday Gift for Her Mom Grandma Personalized Gifts for Women Grandma Bracelet,34.33,24.03,(30% off),4.7844,"(5,717)",FREE shipping,https://www.etsy.com/listing/1453332364/birthstone-bracelet-adjustable-box-chain?click_key=134badd334bcfefd3906fe01a12fac126aa7e557%3A1453332364&click_sum=e5d4026e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271338-1-12&pro=1&frs=1&sts=1
Star Bracelet | Gold or Silver Star Bracelet | Lunar Jewelry,44.00,35.20,(20% off),4.9053,"(11,500)",FREE shipping,https://www.etsy.com/listing/278285602/star-bracelet-gold-or-silver-star?click_key=4f36cd9c0a067a5b4b0e06ba7cd8db3b4da3aee7%3A278285602&click_sum=51661b37&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=search_grid-271339-1-25&pro=1&frs=1&sts=1
